method,risk_metric,num_observations,expected_exceedances,expected_exceedance_pct,actual_exceedances,actual_exceedance_pct,kupiec_lr_stat,kupiec_p_value,kupiec_result,exact_binomial_p_value,exact_binomial_ci_lower,exact_binomial_ci_upper,exact_binomial_result,traffic_light,traffic_light_green_upper,traffic_light_yellow_upper
historical_1-day-scaled,es,505,25,0.050000000000000044,5,0.009900990099009901,25.149081101509793,5.306493262580148e-07,rejected,1.728232154132973e-06,0.003222420169481332,0.022953388246796064,rejected,n/a,,
historical_1-day-scaled,var,505,25,0.050000000000000044,7,0.013861386138613862,19.224778274971484,1.1619537534812707e-05,rejected,2.3458920820317208e-05,0.005590674733269273,0.028350226447410205,rejected,green,34.0,45.0
historical_n-day,es,505,25,0.050000000000000044,8,0.015841584158415842,16.722788036902003,4.325826514683939e-05,rejected,8.856843662757194e-05,0.006863441071959811,0.030974670971534547,rejected,n/a,,
historical_n-day,var,505,25,0.050000000000000044,13,0.02574257425742574,7.549367544071188,0.00600311405465892,rejected,0.010231542091080504,0.013776455087817994,0.0436183164085734,rejected,green,34.0,45.0
monte_carlo,es,505,25,0.050000000000000044,7,0.013861386138613862,19.224778274971484,1.1619537534812707e-05,rejected,2.3458920820317208e-05,0.005590674733269273,0.028350226447410205,rejected,n/a,,
monte_carlo,var,505,25,0.050000000000000044,9,0.01782178217821782,14.475477091488557,0.00014199613352039453,rejected,0.00030517740229597443,0.00818082496756773,0.033560816409277286,rejected,green,34.0,45.0
parametric,es,505,25,0.050000000000000044,7,0.013861386138613862,19.224778274971484,1.1619537534812707e-05,rejected,2.3458920820317208e-05,0.005590674733269273,0.028350226447410205,rejected,n/a,,
parametric,var,505,25,0.050000000000000044,8,0.015841584158415842,16.722788036902003,4.325826514683939e-05,rejected,8.856843662757194e-05,0.006863441071959811,0.030974670971534547,rejected,green,34.0,45.0
