date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es
2008-01-02,252,10,0.95,0.99,10000,2008-01-12,1,1,0,['AAPL'],55.64724928180734,84.99396620864847,61.4007052998988,72.23469666196621,52.264381448974326,70.16054059571516,55.93690802266259,75.35972122895359
2008-01-03,252,10,0.95,0.99,10000,2008-01-13,1,1,0,['AAPL'],55.5407322183688,84.99396620864849,60.689038785240875,72.23469666196621,52.940579182260265,69.16130175051798,55.855166193877565,75.18650617235525
2008-01-04,252,10,0.95,0.99,10000,2008-01-14,1,1,0,['AAPL'],68.70833027911456,103.5266920196635,59.97018371992984,72.23469666196621,56.49369994719679,73.35160254200395,60.08688097279377,78.8785816977981
2008-01-07,252,10,0.95,0.99,10000,2008-01-17,1,1,0,['AAPL'],68.00761545366251,103.52669201966353,59.24406749234295,72.23469666196621,56.72455240575111,71.65281426230396,60.002243282461066,78.48650481849356
2008-01-08,252,10,0.95,0.99,10000,2008-01-18,1,1,0,['AAPL'],68.36318187606516,103.52669201966353,66.36224602459886,72.5124129636577,57.51403179738067,72.43200407608727,60.58021385625161,78.45350559092823
2008-01-09,252,10,0.95,0.99,10000,2008-01-19,1,1,0,['AAPL'],67.91826193584656,103.5266920196635,66.21518061469226,72.5124129636577,55.408178530171675,72.30321393543231,61.73890285476809,80.6333170669265
2008-01-10,252,10,0.95,0.99,10000,2008-01-20,1,1,0,['AAPL'],67.46884785481765,103.5266920196635,66.06662969559468,72.51241296365771,58.64217721927152,74.53847534265587,61.456638808024806,80.12374229390014
2008-01-11,252,10,0.95,0.99,10000,2008-01-21,1,1,0,['AAPL'],67.01489423761674,103.5266920196635,67.97534107676248,76.17056006771953,58.231360621127216,73.70765465547167,61.60418698026679,79.76746475107248
2008-01-14,252,10,0.95,0.99,10000,2008-01-24,1,1,0,['AAPL'],66.5563552303431,103.5266920196635,67.93513310571845,76.17056006771953,59.22577830234519,75.53550128683375,62.19035768213437,81.04722910436323
2008-01-15,252,10,0.95,0.99,10000,2008-01-25,1,1,0,['AAPL'],78.93173764066742,106.35183133068747,68.77626953520819,80.20245536057516,60.82779515250297,75.96671615109916,63.31737659159505,81.50647644647185
