date,symbol,expiry,type,strike,timestamp,open,high,low,close,volume,trade_count,vwap
2026-01-09,GOOGL260109C00160000,2026-01-09,call,160.0,2026-01-09T05:00:00Z,170.11,170.11,170.11,170.11,1,1,170.11
2026-01-09,GOOGL260109C00165000,2026-01-09,call,165.0,2026-01-09T05:00:00Z,165.12,165.12,165.12,165.12,1,1,165.12
2026-01-09,GOOGL260109C00170000,2026-01-09,call,170.0,2026-01-09T05:00:00Z,158.68,160.01,158.68,160.01,21,2,158.743333
2026-01-09,GOOGL260109C00175000,2026-01-09,call,175.0,2026-01-09T05:00:00Z,154.99,155.04,154.99,155.01,5,3,155.024
2026-01-09,GOOGL260109C00195000,2026-01-09,call,195.0,2026-01-09T05:00:00Z,134.83,134.83,134.78,134.78,2,2,134.805
2026-01-09,GOOGL260109C00200000,2026-01-09,call,200.0,2026-01-09T05:00:00Z,130.41,130.41,129.95,129.95,38,4,130.305789
2026-01-09,GOOGL260109C00205000,2026-01-09,call,205.0,2026-01-09T05:00:00Z,124.07,125.33,121.7,124.8,69,45,123.82087
2026-01-09,GOOGL260109C00215000,2026-01-09,call,215.0,2026-01-09T05:00:00Z,115.15,115.15,113.56,113.56,31,3,114.852258
2026-01-09,GOOGL260109C00220000,2026-01-09,call,220.0,2026-01-09T05:00:00Z,109.9,109.9,109.9,109.9,4,2,109.9
2026-01-09,GOOGL260109C00230000,2026-01-09,call,230.0,2026-01-09T05:00:00Z,99.8,100.15,99.6,99.6,4,3,99.925
2026-01-09,GOOGL260109C00235000,2026-01-09,call,235.0,2026-01-09T05:00:00Z,94.7,94.7,94.7,94.7,1,1,94.7
2026-01-09,GOOGL260109C00250000,2026-01-09,call,250.0,2026-01-09T05:00:00Z,79.39,79.85,79.39,79.85,9,3,79.773333
2026-01-09,GOOGL260109C00260000,2026-01-09,call,260.0,2026-01-09T05:00:00Z,68.65,70.14,68.65,69.15,11,8,69.342727
2026-01-09,GOOGL260109C00270000,2026-01-09,call,270.0,2026-01-09T05:00:00Z,58.7,60.25,58.7,60.25,7,5,59.367143
2026-01-09,GOOGL260109C00275000,2026-01-09,call,275.0,2026-01-09T05:00:00Z,54.87,54.95,54.87,54.95,4,2,54.93
2026-01-09,GOOGL260109C00280000,2026-01-09,call,280.0,2026-01-09T05:00:00Z,49.45,50.35,48.78,50.35,12,4,50.144167
2026-01-09,GOOGL260109C00285000,2026-01-09,call,285.0,2026-01-09T05:00:00Z,44.43,44.6,43.5,44.4,58,9,43.871379
2026-01-09,GOOGL260109C00287500,2026-01-09,call,287.5,2026-01-09T05:00:00Z,42.64,42.64,42.64,42.64,1,1,42.64
2026-01-09,GOOGL260109C00290000,2026-01-09,call,290.0,2026-01-09T05:00:00Z,38,40.43,38,39.35,76,16,39.245526
2026-01-09,GOOGL260109C00295000,2026-01-09,call,295.0,2026-01-09T05:00:00Z,31.15,35.4,31.15,34.87,111,15,34.586937
2026-01-09,GOOGL260109C00297500,2026-01-09,call,297.5,2026-01-09T05:00:00Z,30.3,31,30.3,31,26,2,30.973077
2026-01-09,GOOGL260109C00300000,2026-01-09,call,300.0,2026-01-09T05:00:00Z,26.8,30.6,26.68,28.75,338,80,29.404852
2026-01-09,GOOGL260109C00302500,2026-01-09,call,302.5,2026-01-09T05:00:00Z,24.55,27.3,24.55,27.3,40,12,25.94725
2026-01-09,GOOGL260109C00305000,2026-01-09,call,305.0,2026-01-09T05:00:00Z,21.67,25.15,21.67,24.65,180,27,23.872111
2026-01-09,GOOGL260109C00307500,2026-01-09,call,307.5,2026-01-09T05:00:00Z,18.65,22.9,18.65,22.9,38,19,21.868684
2026-01-09,GOOGL260109C00310000,2026-01-09,call,310.0,2026-01-09T05:00:00Z,16.2,20.55,16.2,18.71,375,78,19.52728
2026-01-09,GOOGL260109C00312500,2026-01-09,call,312.5,2026-01-09T05:00:00Z,13.7,18,13.7,16.7,219,59,16.516758
2026-01-09,GOOGL260109C00315000,2026-01-09,call,315.0,2026-01-09T05:00:00Z,11.28,15.68,11.28,13.6,775,209,14.325497
2026-01-09,GOOGL260109C00317500,2026-01-09,call,317.5,2026-01-09T05:00:00Z,9,13.11,9,11.92,3668,515,12.19648
2026-01-09,GOOGL260109C00320000,2026-01-09,call,320.0,2026-01-09T05:00:00Z,6.68,10.63,6.59,8.64,5199,573,9.11818
2026-01-09,GOOGL260109C00322500,2026-01-09,call,322.5,2026-01-09T05:00:00Z,5.15,8.2,3.95,6.26,6594,552,6.475602
2026-01-09,GOOGL260109C00325000,2026-01-09,call,325.0,2026-01-09T05:00:00Z,3.1,5.91,2.25,3.55,19719,2386,4.681697
2026-01-09,GOOGL260109C00327500,2026-01-09,call,327.5,2026-01-09T05:00:00Z,1.35,3.76,1,1,14861,3568,2.190931
2026-01-09,GOOGL260109C00330000,2026-01-09,call,330.0,2026-01-09T05:00:00Z,0.84,2.13,0.01,0.01,64466,11872,0.979574
2026-01-09,GOOGL260109C00332500,2026-01-09,call,332.5,2026-01-09T05:00:00Z,0.37,1.04,0.01,0.01,23816,3546,0.296198
2026-01-09,GOOGL260109C00335000,2026-01-09,call,335.0,2026-01-09T05:00:00Z,0.14,0.45,0.01,0.01,9830,1217,0.111894
2026-01-09,GOOGL260109C00337500,2026-01-09,call,337.5,2026-01-09T05:00:00Z,0.07,0.19,0.01,0.01,2345,255,0.039049
