date,symbol,expiry,type,strike,timestamp,open,high,low,close,volume,trade_count,vwap
2026-02-03,GOOGL260206C00180000,2026-02-06,call,180.0,2026-02-03T05:00:00Z,163,163,163,163,4,1,163
2026-02-03,GOOGL260206C00270000,2026-02-06,call,270.0,2026-02-03T05:00:00Z,70.35,70.35,70.25,70.25,6,3,70.3
2026-02-03,GOOGL260206C00292500,2026-02-06,call,292.5,2026-02-03T05:00:00Z,54.62,54.62,54.62,54.62,1,1,54.62
2026-02-03,GOOGL260206C00322500,2026-02-06,call,322.5,2026-02-03T05:00:00Z,25.1,25.1,20.04,21.05,589,28,23.619779
2026-02-03,GOOGL260206C00337500,2026-02-06,call,337.5,2026-02-03T05:00:00Z,16.33,16.6,10.75,11.86,1447,367,12.798362
2026-02-03,GOOGL260206C00170000,2026-02-06,call,170.0,2026-02-03T05:00:00Z,169.83,169.83,169.83,169.83,3,1,169.83
2026-02-03,GOOGL260206C00312500,2026-02-06,call,312.5,2026-02-03T05:00:00Z,31.42,33.65,29.1,29.1,4,4,31.3975
2026-02-03,GOOGL260206C00325000,2026-02-06,call,325.0,2026-02-03T05:00:00Z,25.25,25.25,18.25,19.75,201,75,21.902139
2026-02-03,GOOGL260206C00342500,2026-02-06,call,342.5,2026-02-03T05:00:00Z,12.9,13.15,8.54,9.44,2257,577,10.393288
2026-02-03,GOOGL260206C00367500,2026-02-06,call,367.5,2026-02-03T05:00:00Z,3.55,3.55,1.92,2.13,390,144,2.452077
2026-02-03,GOOGL260206C00290000,2026-02-06,call,290.0,2026-02-03T05:00:00Z,53.98,53.98,49,49,3,3,50.66
2026-02-03,GOOGL260206C00307500,2026-02-06,call,307.5,2026-02-03T05:00:00Z,38.9,38.9,32.75,32.75,27,4,37.422222
2026-02-03,GOOGL260206C00315000,2026-02-06,call,315.0,2026-02-03T05:00:00Z,33.7,33.7,26.05,26.92,45,22,29.589333
2026-02-03,GOOGL260206C00330000,2026-02-06,call,330.0,2026-02-03T05:00:00Z,20.95,21.1,14.95,16.3,1383,404,17.432299
2026-02-03,GOOGL260206C00382500,2026-02-06,call,382.5,2026-02-03T05:00:00Z,1.27,1.36,0.65,0.68,214,73,0.866589
2026-02-03,GOOGL260206C00320000,2026-02-06,call,320.0,2026-02-03T05:00:00Z,29,29,22.03,22.94,180,56,24.814556
2026-02-03,GOOGL260206C00405000,2026-02-06,call,405.0,2026-02-03T05:00:00Z,0.22,0.22,0.11,0.12,70,42,0.161286
2026-02-03,GOOGL260206C00150000,2026-02-06,call,150.0,2026-02-03T05:00:00Z,190.33,190.33,190.33,190.33,1,1,190.33
2026-02-03,GOOGL260206C00225000,2026-02-06,call,225.0,2026-02-03T05:00:00Z,119.55,119.55,119.55,119.55,3,1,119.55
2026-02-03,GOOGL260206C00297500,2026-02-06,call,297.5,2026-02-03T05:00:00Z,49.55,49.55,45.21,45.21,4,4,46.7825
2026-02-03,GOOGL260206C00390000,2026-02-06,call,390.0,2026-02-03T05:00:00Z,0.72,0.72,0.35,0.38,708,96,0.506229
2026-02-03,GOOGL260206C00410000,2026-02-06,call,410.0,2026-02-03T05:00:00Z,0.21,0.21,0.07,0.1,59,22,0.130169
2026-02-03,GOOGL260206C00425000,2026-02-06,call,425.0,2026-02-03T05:00:00Z,0.06,0.06,0.04,0.04,32,11,0.054063
2026-02-03,GOOGL260206C00295000,2026-02-06,call,295.0,2026-02-03T05:00:00Z,52.14,52.14,45.65,45.65,10,7,48.056
2026-02-03,GOOGL260206C00302500,2026-02-06,call,302.5,2026-02-03T05:00:00Z,40.57,40.57,37.75,37.75,5,3,38.48
2026-02-03,GOOGL260206C00350000,2026-02-06,call,350.0,2026-02-03T05:00:00Z,9,9.7,5.7,6.35,6005,1493,7.054436
2026-02-03,GOOGL260206C00430000,2026-02-06,call,430.0,2026-02-03T05:00:00Z,0.04,0.05,0.03,0.03,16,8,0.036875
2026-02-03,GOOGL260206C00357500,2026-02-06,call,357.5,2026-02-03T05:00:00Z,5.95,5.95,3.75,4.15,885,176,4.273164
2026-02-03,GOOGL260206C00370000,2026-02-06,call,370.0,2026-02-03T05:00:00Z,2.82,3.06,1.62,1.81,3446,658,2.124835
2026-02-03,GOOGL260206C00400000,2026-02-06,call,400.0,2026-02-03T05:00:00Z,0.37,0.37,0.16,0.18,1302,134,0.232604
2026-02-03,GOOGL260206C00420000,2026-02-06,call,420.0,2026-02-03T05:00:00Z,0.07,0.07,0.03,0.03,48,10,0.049792
2026-02-03,GOOGL260206C00210000,2026-02-06,call,210.0,2026-02-03T05:00:00Z,132.5,132.5,132.45,132.45,143,2,132.48007
2026-02-03,GOOGL260206C00355000,2026-02-06,call,355.0,2026-02-03T05:00:00Z,6.95,6.95,4.35,4.74,1633,555,5.143172
2026-02-03,GOOGL260206C00220000,2026-02-06,call,220.0,2026-02-03T05:00:00Z,123,123,123,123,4,1,123
