date,symbol,expiry,type,strike,timestamp,open,high,low,close,volume,trade_count,vwap
2026-01-29,GOOGL260130C00312500,2026-01-30,call,312.5,2026-01-29T05:00:00Z,22.17,22.17,16.8,17.5,60,15,19.492333
2026-01-29,GOOGL260130C00322500,2026-01-30,call,322.5,2026-01-29T05:00:00Z,18.46,18.46,6.3,16.3,1114,148,11.997567
2026-01-29,GOOGL260130C00375000,2026-01-30,call,375.0,2026-01-29T05:00:00Z,0.01,0.02,0.01,0.02,3,2,0.016667
2026-01-29,GOOGL260130C00145000,2026-01-30,call,145.0,2026-01-29T05:00:00Z,184.9,189.63,182.85,189.63,7,6,185.644286
2026-01-29,GOOGL260130C00295000,2026-01-30,call,295.0,2026-01-29T05:00:00Z,40.87,40.87,40.87,40.87,1,1,40.87
2026-01-29,GOOGL260130C00355000,2026-01-30,call,355.0,2026-01-29T05:00:00Z,0.13,0.35,0.01,0.06,1080,164,0.039537
2026-01-29,GOOGL260130C00367500,2026-01-30,call,367.5,2026-01-29T05:00:00Z,0.03,0.03,0.01,0.01,859,44,0.010047
2026-01-29,GOOGL260130C00180000,2026-01-30,call,180.0,2026-01-29T05:00:00Z,154.82,154.82,154.82,154.82,1,1,154.82
2026-01-29,GOOGL260130C00280000,2026-01-30,call,280.0,2026-01-29T05:00:00Z,54.25,56.5,50.09,56.5,20,10,54.2435
2026-01-29,GOOGL260130C00300000,2026-01-30,call,300.0,2026-01-29T05:00:00Z,27.41,37.75,27.41,37.75,44,16,32.233636
2026-01-29,GOOGL260130C00347500,2026-01-30,call,347.5,2026-01-29T05:00:00Z,0.91,0.93,0.06,0.3,1867,367,0.186904
2026-01-29,GOOGL260130C00140000,2026-01-30,call,140.0,2026-01-29T05:00:00Z,191.02,194.63,191.02,194.63,2,2,192.825
2026-01-29,GOOGL260130C00165000,2026-01-30,call,165.0,2026-01-29T05:00:00Z,162.77,162.77,162.77,162.77,1,1,162.77
2026-01-29,GOOGL260130C00310000,2026-01-30,call,310.0,2026-01-29T05:00:00Z,26.13,26.75,17.9,24.99,49,18,22.893265
2026-01-29,GOOGL260130C00335000,2026-01-30,call,335.0,2026-01-29T05:00:00Z,6.7,8.08,0.67,4.65,21924,3263,2.042156
2026-01-29,GOOGL260130C00360000,2026-01-30,call,360.0,2026-01-29T05:00:00Z,0.03,0.03,0.01,0.01,888,91,0.014459
2026-01-29,GOOGL260130C00330000,2026-01-30,call,330.0,2026-01-29T05:00:00Z,11.13,11.13,1.86,8.81,12020,2080,3.579612
2026-01-29,GOOGL260130C00332500,2026-01-30,call,332.5,2026-01-29T05:00:00Z,8.65,10,1.18,6.5,11986,1717,3.247828
2026-01-29,GOOGL260130C00352500,2026-01-30,call,352.5,2026-01-29T05:00:00Z,0.24,0.24,0.02,0.09,1035,182,0.063778
2026-01-29,GOOGL260130C00110000,2026-01-30,call,110.0,2026-01-29T05:00:00Z,221.05,224.62,221.05,224.62,2,2,222.835
2026-01-29,GOOGL260130C00270000,2026-01-30,call,270.0,2026-01-29T05:00:00Z,63.31,66.22,63.31,66.22,3,3,64.843333
2026-01-29,GOOGL260130C00370000,2026-01-30,call,370.0,2026-01-29T05:00:00Z,0.01,0.02,0.01,0.02,102,3,0.010098
2026-01-29,GOOGL260130C00260000,2026-01-30,call,260.0,2026-01-29T05:00:00Z,76.31,76.53,76.31,76.53,2,2,76.42
2026-01-29,GOOGL260130C00292500,2026-01-30,call,292.5,2026-01-29T05:00:00Z,43.08,43.08,43.08,43.08,1,1,43.08
2026-01-29,GOOGL260130C00305000,2026-01-30,call,305.0,2026-01-29T05:00:00Z,23.21,31.35,22.8,31,61,20,27.150164
2026-01-29,GOOGL260130C00320000,2026-01-30,call,320.0,2026-01-29T05:00:00Z,20.23,20.23,8.3,18.4,353,85,12.301983
2026-01-29,GOOGL260130C00325000,2026-01-30,call,325.0,2026-01-29T05:00:00Z,15.63,16.12,4.3,13.4,1145,253,7.673258
2026-01-29,GOOGL260130C00327500,2026-01-30,call,327.5,2026-01-29T05:00:00Z,12.98,12.98,3,11,4045,660,4.395375
2026-01-29,GOOGL260130C00390000,2026-01-30,call,390.0,2026-01-29T05:00:00Z,0.33,0.33,0.05,0.05,2,2,0.19
