date,symbol,expiry,type,strike,timestamp,open,high,low,close,volume,trade_count,vwap
2026-02-19,GOOGL260220C00307500,2026-02-20,call,307.5,2026-02-19T05:00:00Z,0.87,1.62,0.51,0.57,6313,1486,0.96932
2026-02-19,GOOGL260220C00332500,2026-02-20,call,332.5,2026-02-19T05:00:00Z,0.01,0.01,0.01,0.01,6,6,0.01
2026-02-19,GOOGL260220C00340000,2026-02-20,call,340.0,2026-02-19T05:00:00Z,0.03,0.03,0.01,0.01,181,25,0.010552
2026-02-19,GOOGL260220C00105000,2026-02-20,call,105.0,2026-02-19T05:00:00Z,199.18,199.18,199.1,199.1,2,2,199.14
2026-02-19,GOOGL260220C00115000,2026-02-20,call,115.0,2026-02-19T05:00:00Z,189.09,189.09,189.09,189.09,1,1,189.09
2026-02-19,GOOGL260220C00165000,2026-02-20,call,165.0,2026-02-19T05:00:00Z,138.05,139.34,138.05,139.34,2,2,138.695
2026-02-19,GOOGL260220C00235000,2026-02-20,call,235.0,2026-02-19T05:00:00Z,66.65,69.6,66.65,68.37,19,9,68.061579
2026-02-19,GOOGL260220C00240000,2026-02-20,call,240.0,2026-02-19T05:00:00Z,61.4,64.9,61.4,63.76,12,7,63.295
2026-02-19,GOOGL260220C00245000,2026-02-20,call,245.0,2026-02-19T05:00:00Z,58.6,59.7,57,59.32,35,6,59.372
2026-02-19,GOOGL260220C00287500,2026-02-20,call,287.5,2026-02-19T05:00:00Z,16,17.85,15,17.52,7,6,16.36
2026-02-19,GOOGL260220C00250000,2026-02-20,call,250.0,2026-02-19T05:00:00Z,52.26,55,52.26,53.41,89,13,54.592247
2026-02-19,GOOGL260220C00255000,2026-02-20,call,255.0,2026-02-19T05:00:00Z,48.05,50.33,47.1,47.25,62,43,48.062419
2026-02-19,GOOGL260220C00285000,2026-02-20,call,285.0,2026-02-19T05:00:00Z,17.65,20.6,17.65,18,29,19,18.781034
2026-02-19,GOOGL260220C00337500,2026-02-20,call,337.5,2026-02-19T05:00:00Z,0.02,0.02,0.01,0.01,14,9,0.012143
2026-02-19,GOOGL260220C00135000,2026-02-20,call,135.0,2026-02-19T05:00:00Z,169.32,169.32,169.32,169.32,1,1,169.32
