date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es
2021-01-04,252,10,0.95,0.99,10000,2021-01-14,1,1,0,['AAPL'],1165.4385121302703,1861.412345450593,1018.8553331086358,1440.1309622736865,1287.075535328589,1632.0897277852068,1369.6055704218509,1794.8744477119212
2021-01-05,252,10,0.95,0.99,10000,2021-01-15,1,1,0,['AAPL'],1163.824971363412,1861.4123454505927,1009.1876667681693,1427.4284000401483,1295.5514617213566,1662.7688833447617,1364.8836084787715,1793.5837748633237
2021-01-06,252,10,0.95,0.99,10000,2021-01-16,1,1,0,['AAPL'],1307.3429742087096,1866.0771796792358,1007.3165464389299,1427.4284000401483,1336.7160813749774,1669.4388314220391,1379.5042844155078,1796.2874842052245
2021-01-07,252,10,0.95,0.99,10000,2021-01-17,1,1,0,['AAPL'],1290.9344215243016,1837.2784239689222,1005.4265259043447,1427.4284000401485,1371.8154294198007,1723.1144231980873,1390.0191924082392,1822.2582438278628
2021-01-08,252,10,0.95,0.99,10000,2021-01-18,1,1,0,['AAPL'],1251.8213862692844,1837.2784239689222,1003.5174142532484,1427.4284000401485,1326.1509948521257,1681.8229066455667,1385.339769191545,1819.2590987544922
2021-01-11,252,10,0.95,0.99,10000,2021-01-21,1,1,0,['AAPL'],1212.3132698500754,1837.2784239689222,1001.5890186460806,1427.4284000401483,1299.031886205061,1681.132674527007,1391.2410251784922,1815.2147317936128
2021-01-12,252,10,0.95,0.99,10000,2021-01-22,1,1,0,['AAPL'],1186.9241511841549,1819.2205483239484,999.6411442954059,1427.4284000401483,1318.128545174525,1676.340797328683,1384.0360359897084,1805.2708915368619
2021-01-13,252,10,0.95,0.99,10000,2021-01-23,1,1,0,['AAPL'],1185.6652470699332,1819.2205483239484,997.6735944462396,1427.4284000401485,1289.2665358344104,1670.1731668420084,1380.7460748017443,1807.348064076919
2021-01-14,252,10,0.95,0.99,10000,2021-01-24,1,1,0,['AAPL'],1184.3936267525378,1819.2205483239486,995.6861703561726,1427.4284000401483,1298.5455712820497,1662.3539888243906,1380.821701252779,1799.924654977807
2021-01-15,252,10,0.95,0.99,10000,2021-01-25,1,1,0,['AAPL'],1183.109161785472,1819.2205483239475,993.678671275297,1427.4284000401485,1299.1037888961077,1616.5813714154497,1379.5430161322304,1791.6857266912698
