Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.053963249090163874,0.06189909260063727,0.053963249090163874,0.05925340577960014,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.05925339409240305,0.062428095956202516,0.05925339409240305,0.061369456350803375,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.06136946585321175,0.0629571212690425,0.06136946585321175,0.062428105622529984,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.0624281056436279,0.0629571212903192,0.060311434580569284,0.06084045022726059,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.060840465819419036,0.06136948160168619,0.059253418472617565,0.05978243425488472,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.05978243340620552,0.05978243340620552,0.0576663703071768,0.058195386081933975,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.05819541201757824,0.059253444038620186,0.05555033196497338,0.05660836398601532,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.05660833701134501,0.05660833701134501,0.05449227397759497,0.055021289736032486,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.05502127813981306,0.056079309433698654,0.05449226249287026,0.056079309433698654,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.056079292518082205,0.0581953544675698,0.055550277030710304,0.057666338980197906,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.057666371804363716,0.058724403381347656,0.057666371804363716,0.058724403381347656,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.05872440185669116,0.05872440185669116,0.05713735453241962,0.058195386081933975,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.0581953544675698,0.0581953544675698,0.0576663389801979,0.057666338980197906,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.0576663703071768,0.059253417631448334,0.0576663703071768,0.058195386081933975,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.058724403381347656,0.06031145074682357,0.058724403381347656,0.058724403381347656,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.058724403381347656,0.05925341916983963,0.058724403381347656,0.058724403381347656,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.0587243699549417,0.0592533854423136,0.056608308005454105,0.057666338980197906,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.0576663703071768,0.059253417631448334,0.0576663703071768,0.058195386081933975,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.058195374441712897,0.059782421448543774,0.058195374441712897,0.05925340577960014,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.059253418472617565,0.060311450037151874,0.05819538690808325,0.05978243425488472,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.060311434580569284,0.06189908999693659,0.060311434580569284,0.06084045022726059,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.0608404407862033,0.06189908039160243,0.0608404407862033,0.061369456350803375,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.06136945635080338,0.06136945635080338,0.05925339409240305,0.061369456350803375,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.06136945104336346,0.06401513711375487,0.060840435524514444,0.06348612159490585,31910400,0.0,0.0
1986-04-17 00:00:00-05:00,0.06348613444427055,0.06401515007019043,0.06348613444427055,0.06401515007019043,22003200,0.0,0.0
1986-04-18 00:00:00-05:00,0.06401516626322838,0.06401516626322838,0.06136947898811635,0.061899103224277496,21628800,0.0,0.0
1986-04-21 00:00:00-05:00,0.061899103224277496,0.062428118984015214,0.06031144746864091,0.061899103224277496,22924800,0.0,0.0
1986-04-22 00:00:00-05:00,0.06189908999693659,0.06189908999693659,0.06084045022726059,0.06084045022726059,15552000,0.0,0.0
1986-04-23 00:00:00-05:00,0.06084042549191607,0.061369440923530326,0.06031141006030181,0.06110493093729019,15609600,0.0,0.0
1986-04-24 00:00:00-05:00,0.061104928633152186,0.06824724743710195,0.06084042319775201,0.06718921661376953,62352000,0.0,0.0
1986-04-25 00:00:00-05:00,0.06771827694456009,0.0743315847236061,0.06771827694456009,0.07142199575901031,85795200,0.0,0.0
1986-04-28 00:00:00-04:00,0.07142197879504812,0.07248001006889689,0.07089235468184159,0.0719509944319725,28886400,0.0,0.0
1986-04-29 00:00:00-04:00,0.07195105412188556,0.07195105412188556,0.0693053652661431,0.0698343813419342,30326400,0.0,0.0
1986-04-30 00:00:00-04:00,0.06983432803074864,0.07036334370269176,0.06666023399908994,0.06824728101491928,30902400,0.0,0.0
1986-05-01 00:00:00-04:00,0.06824724743710195,0.06824724743710195,0.06613118579043713,0.06718921661376953,54345600,0.0,0.0
1986-05-02 00:00:00-04:00,0.06718921661376953,0.06824724743710195,0.06666020120210334,0.06718921661376953,20246400,0.0,0.0
1986-05-05 00:00:00-04:00,0.0671892259756035,0.0671892259756035,0.06666021049022675,0.06666021049022675,3254400,0.0,0.0
1986-05-06 00:00:00-04:00,0.06718921661376953,0.06824724743710195,0.06718921661376953,0.06718921661376953,9734400,0.0,0.0
1986-05-07 00:00:00-04:00,0.06718921661376953,0.06771823202543574,0.06613118579043713,0.06718921661376953,5155200,0.0,0.0
1986-05-08 00:00:00-04:00,0.067189244360088,0.0677182599902153,0.06666022872996069,0.0677182599902153,3542400,0.0,0.0
1986-05-09 00:00:00-04:00,0.06771823202543574,0.06771823202543574,0.06718921661376953,0.06718921661376953,6076800,0.0,0.0
1986-05-12 00:00:00-04:00,0.067189244360088,0.06930530688059722,0.067189244360088,0.0677182599902153,10483200,0.0,0.0
1986-05-13 00:00:00-04:00,0.06771826534297616,0.0687762966868624,0.06771826534297616,0.06824728101491928,3830400,0.0,0.0
1986-05-14 00:00:00-04:00,0.0682472756203426,0.0682472756203426,0.0677182599902153,0.0677182599902153,9302400,0.0,0.0
1986-05-15 00:00:00-04:00,0.0677182599902153,0.06877629125046991,0.0677182599902153,0.0677182599902153,3801600,0.0,0.0
1986-05-16 00:00:00-04:00,0.06771826534297616,0.06983432803074864,0.06771826534297616,0.06824728101491928,11952000,0.0,0.0
