method,risk_metric,num_observations,expected_exceedances,expected_exceedance_pct,actual_exceedances,actual_exceedance_pct,kupiec_lr_stat,kupiec_p_value,kupiec_result,exact_binomial_p_value,exact_binomial_ci_lower,exact_binomial_ci_upper,exact_binomial_result,traffic_light,traffic_light_green_upper,traffic_light_yellow_upper
historical_1-day-scaled,es,75,4,0.050000000000000044,0,0.0,7.693994157982591,0.005540487801795058,rejected,0.054971734905864524,0.0,0.04799506405527973,accepted,n/a,,
historical_1-day-scaled,var,75,4,0.050000000000000044,3,0.04,0.16900587300527548,0.6809968351447382,accepted,1.0,0.00832616566616728,0.11247682176000982,accepted,green,7.0,12.0
historical_n-day,es,75,4,0.050000000000000044,1,0.013333333333333334,2.9612888802360295,0.08527993689868485,accepted,0.18661678207455612,0.0003375138023316543,0.07206349724316755,accepted,n/a,,
historical_n-day,var,75,4,0.050000000000000044,3,0.04,0.16900587300527548,0.6809968351447382,accepted,1.0,0.00832616566616728,0.11247682176000982,accepted,green,7.0,12.0
monte_carlo,es,75,4,0.050000000000000044,2,0.02666666666666667,1.0282001742566713,0.3105817701375664,accepted,0.5908125456842204,0.003245930928898196,0.09303153222072551,accepted,n/a,,
monte_carlo,var,75,4,0.050000000000000044,8,0.10666666666666667,3.881676459615882,0.0488157902470544,rejected,0.03362800105998701,0.04718995173988097,0.1994017442026715,rejected,yellow,7.0,12.0
parametric,es,75,4,0.050000000000000044,1,0.013333333333333334,2.9612888802360295,0.08527993689868485,accepted,0.18661678207455612,0.0003375138023316543,0.07206349724316755,accepted,n/a,,
parametric,var,75,4,0.050000000000000044,8,0.10666666666666667,3.881676459615882,0.0488157902470544,rejected,0.03362800105998701,0.04718995173988097,0.1994017442026715,rejected,yellow,7.0,12.0
