date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl,historical_1-day-scaled_var_exceeded,historical_1-day-scaled_var_exceed_amount,historical_1-day-scaled_es_exceeded,historical_1-day-scaled_es_exceed_amount,historical_n-day_var_exceeded,historical_n-day_var_exceed_amount,historical_n-day_es_exceeded,historical_n-day_es_exceed_amount,monte_carlo_var_exceeded,monte_carlo_var_exceed_amount,monte_carlo_es_exceeded,monte_carlo_es_exceed_amount,parametric_var_exceeded,parametric_var_exceed_amount,parametric_es_exceeded,parametric_es_exceed_amount
2026-01-02,100,10,0.95,0.99,10000,2026-01-12,3,1,2,['AAPL'],1328.0590695884812,1863.625785853813,939.3459439205335,1102.8633082002077,1222.8159191323134,1620.6422725586065,1266.065643503492,1678.981045515317,2026-01-12,-1064.871037188368,0,0.0,0,0.0,1,125.52509326783456,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-05,100,10,0.95,0.99,10000,2026-01-15,3,1,2,['AAPL'],1326.4810136789933,1863.722583019627,936.9481456640973,1102.916230361181,1302.4264879752832,1705.6840378643788,1341.0702478137466,1749.7760592230347,2026-01-15,-894.8993706280005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-06,100,10,0.95,0.99,10000,2026-01-16,3,1,2,['AAPL'],1412.9999490379555,1857.1673193115325,1036.5106761365155,1158.7982283320498,1382.4343127557036,1752.2960911886087,1417.6878355028316,1825.5108709498452,2026-01-16,-674.8576050978998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-07,100,10,0.95,0.99,10000,2026-01-17,3,1,2,['AAPL'],1409.1391977948003,1857.151030603912,1090.4640180805684,1158.8098353965702,1403.1135279145894,1787.8959038139792,1429.8358211193895,1833.8045146365878,2026-01-16,-474.74519219008846,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-08,100,10,0.95,0.99,10000,2026-01-18,3,1,2,['AAPL'],1405.2626450171067,1857.16087622761,1133.4214772628584,1231.014400129301,1412.832105558396,1763.172665789914,1434.3881552803875,1834.930761035652,2026-01-16,-347.5799969467646,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-09,100,10,0.95,0.99,10000,2026-01-19,3,1,2,['AAPL'],1401.348653261693,1857.1641657408243,1189.9298458822102,1326.0466606570976,1393.7996160329915,1746.7398383645927,1422.3152057946406,1821.340109828187,2026-01-16,-379.7411155633546,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-12,100,10,0.95,0.99,10000,2026-01-22,3,1,2,['AAPL'],1397.404944981663,1857.175140206145,1281.595867393365,1348.9741622475915,1305.170076219175,1685.8109680608782,1363.2189185922848,1758.1431398772756,2026-01-22,-1176.2023841166574,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-13,100,10,0.95,0.99,10000,2026-01-23,3,1,2,['AAPL'],1348.5835851537702,1815.98000471615,1291.274662184515,1348.9606128717428,1294.417227884394,1701.479004520032,1340.8238584085243,1734.8050824249644,2026-01-23,-1286.4980228809889,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-14,100,10,0.95,0.99,10000,2026-01-24,3,1,2,['AAPL'],1346.8062966692537,1815.965720796058,1300.397172122809,1348.9662654868457,1341.2219600364463,1698.4382843802966,1363.0917015850196,1752.7957133955533,2026-01-23,-1179.049595915433,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-15,100,10,0.95,0.99,10000,2026-01-25,3,1,2,['AAPL'],1345.0539230878617,1816.009226855933,1313.024231407952,1365.27578585557,1319.5773514952762,1674.0822004560034,1376.070265434566,1762.400432775682,2026-01-23,-1005.8554361529058,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-16,100,10,0.95,0.99,10000,2026-01-26,3,1,2,['AAPL'],1343.2927730343083,1816.0643037072734,1342.2272628453068,1437.211658464656,1336.684898629779,1696.785065063801,1419.624854809013,1802.1009447563313,2026-01-26,-11.616095303933406,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-20,100,10,0.95,0.99,10000,2026-01-30,3,1,2,['AAPL'],1539.6002777126894,2383.278361909118,1409.6409102367552,1669.699058632116,1592.1064938571265,1938.9748334382286,1612.6434319056984,2006.7298863136823,2026-01-30,1262.6956640492194,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-21,100,10,0.95,0.99,10000,2026-01-31,3,1,2,['AAPL'],1539.086729500582,2383.1716329761857,1448.9876614716056,1672.8010301541965,1549.0020369463327,1916.893529162631,1607.083360479986,2000.39064888448,2026-01-30,1169.8205519730714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-22,100,10,0.95,0.99,10000,2026-02-01,3,1,2,['AAPL'],1538.628583104267,2383.178420333925,1448.1143834623435,1672.825571453164,1525.7760162107106,1890.3312941739653,1590.3393704935775,1982.9553191295074,2026-01-30,1100.252198878843,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-23,100,10,0.95,0.99,10000,2026-02-02,3,1,2,['AAPL'],1538.1604243188701,2383.1856378117795,1447.2083844741258,1672.8199342352784,1501.9005137801732,1882.51009808313,1566.7369992425863,1956.0819010084444,2026-02-02,2173.328019329649,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-26,100,10,0.95,0.99,10000,2026-02-05,3,1,2,['AAPL'],1537.5956033946477,2383.024967827335,1446.1993530474258,1672.7052214215078,1519.8325678219298,1891.6132395880097,1572.4538362279638,1978.8240783202084,2026-02-05,2027.917946219633,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-27,100,10,0.95,0.99,10000,2026-02-06,3,1,2,['AAPL'],1537.0872128718127,2382.9913518262406,1445.2447879674467,1672.6610321514995,1507.7521409110557,1880.4290869941335,1554.8027562613759,1966.0773743686893,2026-02-06,1963.8722140691386,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-28,100,10,0.95,0.99,10000,2026-02-07,3,1,2,['AAPL'],1536.6088770979895,2383.004104035477,1444.3485456986043,1672.7030489453964,1534.803319916453,1916.354031139818,1569.0068136319896,1976.4820764513138,2026-02-06,2144.313521473485,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-29,100,10,0.95,0.99,10000,2026-02-08,3,1,2,['AAPL'],1536.0978689533495,2382.981710328257,1443.388269541667,1672.674489979102,1493.3530137337407,1831.4201444572075,1534.3993680388955,1943.304831509012,2026-02-06,1962.3954313048257,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-01-30,100,10,0.95,0.99,10000,2026-02-09,3,1,2,['AAPL'],1535.614694269551,2383.0096828174856,1442.4162126202689,1672.6404673534887,1444.7420505652844,1834.0254529901492,1486.7782328241167,1894.000144284223,2026-02-09,1524.1386577462147,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-02-02,100,10,0.95,0.99,10000,2026-02-12,3,1,2,['AAPL'],1534.7545228386969,2382.767355789712,1441.3267895880963,1672.4896230675308,1387.260866840574,1818.3469493427858,1418.0238468117968,1864.523553395541,2026-02-12,-794.4566746589892,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-02-03,100,10,0.95,0.99,10000,2026-02-13,3,1,2,['AAPL'],1388.9654859345244,2133.613727563224,1440.4090252515605,1672.5429933124815,1403.4549960007237,1814.568557762299,1435.8364316581506,1878.0942385819676,2026-02-13,-1330.6373364529368,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-02-04,100,10,0.95,0.99,10000,2026-02-14,3,1,2,['AAPL'],1376.991640917745,2133.6397920691975,1439.4200705160401,1672.5306381442563,1395.127247378068,1827.592639633752,1428.3781252066713,1891.175711265672,2026-02-13,-2023.6033807883205,1,646.6117398705755,0,0.0,1,584.1833102722803,1,351.0727426440642,1,628.4761334102525,1,196.01074115456845,1,595.2252555816492,1,132.42766952264856
2026-02-05,100,10,0.95,0.99,10000,2026-02-15,3,1,2,['AAPL'],1364.8239774407623,2133.5077075515073,1438.384771915712,1672.4754193189467,1398.1468284004388,1810.3700021812915,1445.0188378676112,1903.9749173587159,2026-02-13,-1967.005191926248,1,602.1812144854857,0,0.0,1,528.620420010536,1,294.5297726073013,1,568.8583635258092,1,156.6351897449565,1,521.9863540586368,1,63.03027456753216
