date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es
2026-01-02,100,10,0.95,0.99,10000,2026-01-12,2,1,1,['AAPL'],1339.3587075794387,1879.3465821513246,947.7631456492197,1112.6069167760193,1250.9137459422811,1661.1423070938595,1276.5636140158408,1692.9898591564552
2026-01-05,100,10,0.95,0.99,10000,2026-01-15,2,1,1,['AAPL'],1337.4936791534456,1879.0464521697202,945.1552218451441,1112.4181070388197,1317.4345943453707,1695.2738860192533,1351.9208509712157,1764.019939797385
2026-01-06,100,10,0.95,0.99,10000,2026-01-16,2,1,1,['AAPL'],1424.2420603967178,1871.1115388471196,1044.9102393341745,1168.0793827115328,1377.2287321146493,1762.035834391268,1428.6771099776536,1839.7476318826648
2026-01-07,100,10,0.95,0.99,10000,2026-01-17,2,1,1,['AAPL'],1420.2292436252478,1870.922217657599,1098.9745081511305,1167.9473704927618,1378.3613532183856,1747.7218954215516,1440.8011600127463,1847.9584463984781
2026-01-08,100,10,0.95,0.99,10000,2026-01-18,2,1,1,['AAPL'],1416.0913475040682,1870.6236606918078,1142.1497129712463,1240.551467093592,1430.0362264099074,1803.8015192423659,1445.1473274487864,1848.7833264692295
2026-01-09,100,10,0.95,0.99,10000,2026-01-19,2,1,1,['AAPL'],1412.2596453771353,1870.7757682614051,1199.4791706749786,1336.229868694164,1394.0663600583498,1770.900540423028,1433.0995929682967,1835.2386638702985
2026-01-12,100,10,0.95,0.99,10000,2026-01-22,2,1,1,['AAPL'],1408.3730813302095,1870.9099491425186,1291.3711288482136,1359.2232584637982,1332.3902441053192,1724.4668738788553,1373.6320466986242,1771.6594351111182
2026-01-13,100,10,0.95,0.99,10000,2026-01-23,2,1,1,['AAPL'],1359.2161005136468,1829.4950239355935,1300.9567071014274,1359.2502462821978,1315.0376587562753,1714.7916812207302,1351.0892588984784,1748.1735523751418
2026-01-14,100,10,0.95,0.99,10000,2026-01-24,2,1,1,['AAPL'],1357.3604741798677,1829.3903062409834,1310.1583756433774,1359.1633940355823,1337.504390606941,1729.7389863587507,1373.4727895493834,1766.2315011729038
2026-01-15,100,10,0.95,0.99,10000,2026-01-25,2,1,1,['AAPL'],1355.419552741176,1829.1939636692186,1322.7198601857951,1375.423939599375,1355.7132642457266,1733.04031998775,1386.374497868903,1775.6834475522721
