date,window_size,up_to_days,alpha,lambda_val,num_simulations,horizon_end_date,num_active_positions,num_active_stock_positions,num_active_option_positions,position_tickers,historical_1-day-scaled_var,historical_1-day-scaled_es,historical_n-day_var,historical_n-day_es,monte_carlo_var,monte_carlo_es,parametric_var,parametric_es,realized_end_date,realized_pnl,historical_1-day-scaled_var_exceeded,historical_1-day-scaled_var_exceed_amount,historical_1-day-scaled_es_exceeded,historical_1-day-scaled_es_exceed_amount,historical_n-day_var_exceeded,historical_n-day_var_exceed_amount,historical_n-day_es_exceeded,historical_n-day_es_exceed_amount,monte_carlo_var_exceeded,monte_carlo_var_exceed_amount,monte_carlo_es_exceeded,monte_carlo_es_exceed_amount,parametric_var_exceeded,parametric_var_exceed_amount,parametric_es_exceeded,parametric_es_exceed_amount
2016-01-04,252,10,0.95,0.99,10000,2016-01-14,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",386.18974439496264,565.8696869522557,312.33748388976255,438.313004674381,390.99376499080824,496.9204097991424,415.0299420735353,527.4292471532497,2016-01-14,-246.87618255615234,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-05,252,10,0.95,0.99,10000,2016-01-15,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",383.62895194472566,537.7453821653999,311.76391966739976,438.31300467438103,398.40841167044255,501.2283320627579,413.86934558632413,525.0113952080213,2016-01-15,-378.97125244140625,0,0.0,0,0.0,1,67.20733277400649,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-06,252,10,0.95,0.99,10000,2016-01-16,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",381.4973421759473,537.7453821653997,311.18456186703327,438.3130046743811,404.5250002544345,505.80750935291917,418.34246484194193,527.8801859114914,2016-01-15,-286.74083709716797,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-07,252,10,0.95,0.99,10000,2016-01-17,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",428.7830251920233,616.6485790588379,330.87692879409053,445.16675660915047,419.9663954431196,519.940641885277,437.6863727220092,546.2063758902171,2016-01-15,-81.61548614502024,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-08,252,10,0.95,0.99,10000,2016-01-18,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",428.0034352198185,616.6485790588379,396.8790740559226,472.50146932867347,415.66555315670996,511.4057698344579,435.5721543691414,543.6579334714614,2016-01-15,-85.0823974609375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-11,252,10,0.95,0.99,10000,2016-01-21,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",427.21597060143,616.6485790588379,406.7087044124613,477.65912963818096,412.5273598855367,520.4926035878685,432.20078333368133,540.5356907673835,2016-01-21,-139.25201416015625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-12,252,10,0.95,0.99,10000,2016-01-22,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",426.4205517949769,616.6485790588379,406.3822484545968,477.65912963818096,411.54249146428634,503.0035508625302,429.6212009629168,539.2213120249925,2016-01-22,11.663932800292613,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-13,252,10,0.95,0.99,10000,2016-01-23,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",452.80245893428867,595.4971866394405,414.90547054580486,519.2234419828819,417.7463289794717,514.3565142261406,439.28821351149617,547.3808600263247,2016-01-22,157.6886367797855,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-14,252,10,0.95,0.99,10000,2016-01-24,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",449.76991783118194,595.4971866394403,414.4000556095051,519.2234419828819,414.01322243648616,516.8565103422352,437.90383649239845,549.4439255006811,2016-01-22,27.913131713867188,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-15,252,10,0.95,0.99,10000,2016-01-25,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",474.0659730992928,617.5562050249858,441.6345605847338,532.3740844310908,434.5212985206365,531.1591319721514,451.95432002599773,562.0533688930071,2016-01-25,121.39080047607422,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-19,252,10,0.95,0.99,10000,2016-01-29,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",473.327081042474,617.5562050249861,453.2904658433593,532.3740844310906,427.14716116750105,528.1129482144555,450.196374630843,559.3519747234986,2016-01-29,276.07669830322243,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-20,252,10,0.95,0.99,10000,2016-01-30,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",472.58072542952567,617.556205024986,451.9045504475963,532.3740844310908,425.04902228180316,524.4765290469225,447.72812605160215,556.607540885369,2016-01-29,263.87531280517555,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-21,252,10,0.95,0.99,10000,2016-01-31,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",471.82683087099207,617.5562050249858,450.5046359064216,532.3740844310908,423.33287787073664,518.7094374727338,446.0663605098231,553.9612454246593,2016-01-29,276.38839721679665,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-22,252,10,0.95,0.99,10000,2016-02-01,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",471.0653212159076,617.5562050249858,449.0905808143259,532.3740844310906,444.2047912253603,548.0847045111791,455.1625992622119,571.2529521419953,2016-02-01,30.95653533935547,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-25,252,10,0.95,0.99,10000,2016-02-04,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",470.2961195441051,617.5562050249858,447.6622423374615,532.3740844310908,428.30146179436343,537.3921137778468,457.18131214735354,571.5599510444896,2016-02-04,-48.334693908691406,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-26,252,10,0.95,0.99,10000,2016-02-05,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",469.51914815844606,617.5562050249858,446.21947619921474,532.3740844310908,428.6333727970339,536.5830303566644,448.61199531733706,562.3634908699817,2016-02-05,-255.46073913574253,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-27,252,10,0.95,0.99,10000,2016-02-06,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",492.58431323920087,653.9612506811275,444.76213666563217,532.3740844310905,445.2746679217261,538.0345659626429,465.0289475538204,577.5220142396057,2016-02-05,-41.854400634765625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-28,252,10,0.95,0.99,10000,2016-02-07,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",491.8764417811452,653.9612506811274,443.2900765307002,532.3740844310908,434.36403606272825,539.4564480548643,463.0162578844583,577.6035079539771,2016-02-05,-139.34055328369175,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-01-29,252,10,0.95,0.99,10000,2016-02-08,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",491.1614201063416,653.9612506811274,441.80314710147604,532.3740844310908,446.2390013729597,556.9328473718923,469.9537190757155,592.7988187514849,2016-02-08,-374.06124114990246,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-01,252,10,0.95,0.99,10000,2016-02-11,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",490.43917599037826,653.9612506811275,440.4870700066408,514.1541912992142,454.2692130706839,560.5695281633139,468.2807332745313,589.9599107258535,2016-02-11,-365.1430130004883,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-02,252,10,0.95,0.99,10000,2016-02-12,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",489.7096364793042,653.9612506811274,439.3735582123982,514.1541912992141,452.1706730131855,554.5235824285191,471.32701554867566,590.8967115955222,2016-02-12,-218.87012481689453,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-03,252,10,0.95,0.99,10000,2016-02-13,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",488.9727278822598,653.9612506811275,438.24879882427444,514.1541912992141,446.5563764591178,553.4633354430565,473.0866566832048,591.4882860110841,2016-02-12,-177.39479064941406,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-04,252,10,0.95,0.99,10000,2016-02-14,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",488.228375764033,653.9612506811275,437.11267823021,514.1541912992141,448.5830190287685,553.6976824329244,472.7189247506791,590.2534895168523,2016-02-12,-159.0576934814453,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-05,252,10,0.95,0.99,10000,2016-02-15,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",546.1061618130236,644.5774578418672,435.96508167054895,514.1541912992141,457.5797127123906,560.5265185014551,484.2566327462802,599.9529552385595,2016-02-12,18.82854461669922,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-08,252,10,0.95,0.99,10000,2016-02-18,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",537.1142843851496,644.5774578418672,434.80589322644687,514.1541912992141,459.6041393520473,564.1683009283474,482.3998811474703,597.3007666174519,2016-02-18,185.97244262695347,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-09,252,10,0.95,0.99,10000,2016-02-19,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",528.0315799125497,644.5774578418672,433.63499580816193,514.1541912992141,462.0721564395519,559.9441928434841,480.6696573822715,594.7394550664491,2016-02-19,182.35679626464878,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-10,252,10,0.95,0.99,10000,2016-02-20,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",518.8571309503275,644.5774578418672,432.4522711432277,514.1541912992142,450.96945227593307,555.3262707707235,477.6896470534899,591.4066012141012,2016-02-19,171.20845794677734,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-11,252,10,0.95,0.99,10000,2016-02-21,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",509.59001078646656,644.5774578418672,431.25759976450615,514.1541912992142,456.86692984756064,560.6709167261753,475.8004328016082,588.5994799717438,2016-02-19,185.72052001953125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-12,252,10,0.95,0.99,10000,2016-02-22,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",500.2292833482235,644.5774578418672,430.05086099812087,514.1541912992141,455.95631976563726,555.7789557982331,473.4068306754478,586.7206485015175,2016-02-22,208.84685516357422,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-16,252,10,0.95,0.99,10000,2016-02-26,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",499.13825158004136,635.075968768523,428.831932951267,514.1541912992141,450.04018596890273,556.0793243147014,473.408667880377,589.8522592277683,2016-02-26,26.09477996826172,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-17,252,10,0.95,0.99,10000,2016-02-27,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",498.3315797858586,635.075968768523,427.6006924998994,514.1541912992141,447.3224412731623,554.9507417580418,472.23483911149316,591.5480875008209,2016-02-26,-87.25605010986307,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-18,252,10,0.95,0.99,10000,2016-02-28,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",497.5167597917347,635.0759687685229,426.35701527629584,514.1541912992142,452.30621586576075,559.5872565538187,473.1664358431218,590.7804190880122,2016-02-26,-13.499488830566406,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-19,252,10,0.95,0.99,10000,2016-02-29,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",496.6937092926196,635.0759687685229,425.1007756564942,514.1541912992142,449.30808468514005,557.4748879137808,471.2328487150113,587.9236073805489,2016-02-29,-33.90892028808594,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-22,252,10,0.95,0.99,10000,2016-03-03,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",495.8623451520993,635.075968768523,423.8318467476037,514.1541912992141,445.5896013132431,552.1259816200844,468.9363235410879,586.775154765489,2016-03-03,95.21339416503906,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-23,252,10,0.95,0.99,10000,2016-03-04,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",495.02258339399805,635.075968768523,422.55010037498704,514.1541912992141,452.1006206099264,553.0765260514472,474.9616678324892,590.7864556435056,2016-03-04,245.06355285644602,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-24,252,10,0.95,0.99,10000,2016-03-05,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",494.17433919389566,635.0759687685229,421.2554070693136,514.1541912992141,440.8661722569872,551.0125736328298,472.0898563291078,588.4679218073004,2016-03-04,199.84016418457065,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-25,252,10,0.95,0.99,10000,2016-03-06,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",493.31752687056,635.0759687685229,420.26946733071003,499.49305759128106,452.3031557033586,556.667249103782,469.62220956435465,586.9546117409355,2016-03-04,140.10742187500034,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-26,252,10,0.95,0.99,10000,2016-03-07,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",492.4520598772916,635.0759687685229,419.5930302151725,499.49305759128094,438.18513527027693,547.0939469972391,468.57580627478137,584.6140979941033,2016-03-07,82.51453399658239,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2016-02-29,252,10,0.95,0.99,10000,2016-03-10,3,3,0,"['AAPL', 'GOOGL', 'MSFT']",491.57785079318217,635.075968768523,418.9097604014983,499.49305759128094,439.6779816740488,534.2402370190401,467.87658440944983,582.7050299591648,2016-03-10,175.17749786376953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
