method,risk_metric,num_observations,expected_exceedances,expected_exceedance_pct,actual_exceedances,actual_exceedance_pct,kupiec_lr_stat,kupiec_p_value,kupiec_result,exact_binomial_p_value,exact_binomial_ci_lower,exact_binomial_ci_upper,exact_binomial_result,traffic_light,traffic_light_green_upper,traffic_light_yellow_upper
historical_1-day-scaled,es,505,25,0.050000000000000044,8,0.015841584158415842,16.722788036902003,4.325826514683939e-05,rejected,8.856843662757194e-05,0.006863441071959811,0.030974670971534547,rejected,n/a,,
historical_1-day-scaled,var,505,25,0.050000000000000044,15,0.0297029702970297,5.094172453950961,0.024006365899051918,rejected,0.0401009599675866,0.01671785197586081,0.048517824642392425,rejected,green,34.0,45.0
historical_n-day,es,505,25,0.050000000000000044,21,0.041584158415841586,0.7967829743863319,0.3720569511518962,accepted,0.4736720303486538,0.025922491885425693,0.06286537999317018,accepted,n/a,,
historical_n-day,var,505,25,0.050000000000000044,27,0.053465346534653464,0.1249696643660343,0.7237057682274751,accepted,0.6828387848145507,0.03552599092565244,0.07683872927580573,accepted,green,34.0,45.0
monte_carlo,es,505,25,0.050000000000000044,14,0.027722772277227723,6.248243903419393,0.012431649479577533,rejected,0.018459633007147022,0.015237398494228133,0.04607697342771439,rejected,n/a,,
monte_carlo,var,505,25,0.050000000000000044,23,0.04554455445544554,0.21726668248842884,0.6411305079975844,accepted,0.7589436823770276,0.029087087391891125,0.0675577695893893,accepted,green,34.0,45.0
parametric,es,505,25,0.050000000000000044,13,0.02574257425742574,7.549367544071188,0.00600311405465892,rejected,0.010231542091080504,0.013776455087817994,0.0436183164085734,rejected,n/a,,
parametric,var,505,25,0.050000000000000044,22,0.04356435643564356,0.45948422278704015,0.49786512101014235,accepted,0.6089329537758204,0.027499734694828987,0.06521633999985221,accepted,green,34.0,45.0
