method,risk_metric,num_observations,expected_exceedances,expected_exceedance_pct,actual_exceedances,actual_exceedance_pct,kupiec_lr_stat,kupiec_p_value,kupiec_result,exact_binomial_p_value,exact_binomial_ci_lower,exact_binomial_ci_upper,exact_binomial_result,traffic_light,traffic_light_green_upper,traffic_light_yellow_upper
historical_1-day-scaled,es,503,25,0.050000000000000044,2,0.003976143141153081,37.27700095947826,1.024861528975407e-09,rejected,4.223497822678207e-09,0.00048189262459437875,0.014288793722138683,rejected,n/a,,
historical_1-day-scaled,var,503,25,0.050000000000000044,10,0.019880715705765408,12.329870082840358,0.0004457674305848869,rejected,0.0009495041684156836,0.00957374271465252,0.03625670511354778,rejected,green,33.0,45.0
historical_n-day,es,503,25,0.050000000000000044,12,0.02385685884691849,8.899771622664034,0.0028520632449852146,rejected,0.005391532845925847,0.012386557904329208,0.041302045592183236,rejected,n/a,,
historical_n-day,var,503,25,0.050000000000000044,21,0.041749502982107355,0.761848487691168,0.38275066155585635,accepted,0.47311470676064366,0.026026298493528437,0.06311253822888921,accepted,green,33.0,45.0
monte_carlo,es,503,25,0.050000000000000044,7,0.013916500994035786,19.075550139770883,1.2564427611549966e-05,rejected,3.329211523588158e-05,0.005612975035498607,0.028462116035382012,rejected,n/a,,
monte_carlo,var,503,25,0.050000000000000044,19,0.03777335984095427,1.7228951518871156,0.1893208015265393,accepted,0.2589613902334288,0.022892494322614417,0.05836091615004505,accepted,green,33.0,45.0
parametric,es,503,25,0.050000000000000044,7,0.013916500994035786,19.075550139770883,1.2564427611549966e-05,rejected,3.329211523588158e-05,0.005612975035498607,0.028462116035382012,rejected,n/a,,
parametric,var,503,25,0.050000000000000044,16,0.03180914512922465,4.001485360979785,0.045460184465198616,rejected,0.06474235939791323,0.018288797844477928,0.05114300986467778,accepted,green,33.0,45.0
