date,symbol,expiry,type,strike,timestamp,open,high,low,close,volume,trade_count,vwap
2026-02-13,AAPL260213C00280000,2026-02-13,call,280.0,2026-02-13T05:00:00Z,0.02,0.03,0.01,0.01,3016,244,0.011237
2026-02-13,AAPL260213C00227500,2026-02-13,call,227.5,2026-02-13T05:00:00Z,32.19,32.19,32.13,32.13,43,8,32.161628
2026-02-13,AAPL260213C00242500,2026-02-13,call,242.5,2026-02-13T05:00:00Z,16.25,16.4,16.25,16.4,4,2,16.325
2026-02-13,AAPL260213C00270000,2026-02-13,call,270.0,2026-02-13T05:00:00Z,0.16,0.16,0.01,0.01,16290,1138,0.039134
2026-02-13,AAPL260213C00290000,2026-02-13,call,290.0,2026-02-13T05:00:00Z,0.01,0.02,0.01,0.01,1469,50,0.01147
2026-02-13,AAPL260213C00235000,2026-02-13,call,235.0,2026-02-13T05:00:00Z,25.63,25.63,25,25,5,2,25.126
2026-02-13,AAPL260213C00255000,2026-02-13,call,255.0,2026-02-13T05:00:00Z,6.5,6.5,0.75,0.75,3772,614,2.429255
2026-02-13,AAPL260213C00267500,2026-02-13,call,267.5,2026-02-13T05:00:00Z,0.27,0.33,0.01,0.01,18703,1330,0.063719
2026-02-13,AAPL260213C00305000,2026-02-13,call,305.0,2026-02-13T05:00:00Z,0.01,0.01,0.01,0.01,31,5,0.01
2026-02-13,AAPL260213P00125000,2026-02-13,put,125.0,2026-02-13T05:00:00Z,0.01,0.01,0.01,0.01,10,1,0.01
2026-02-13,AAPL260213P00222500,2026-02-13,put,222.5,2026-02-13T05:00:00Z,0.01,0.01,0.01,0.01,1,1,0.01
2026-02-13,AAPL260213C00220000,2026-02-13,call,220.0,2026-02-13T05:00:00Z,39.14,39.14,35.25,35.25,4,3,37.8825
2026-02-13,AAPL260213C00225000,2026-02-13,call,225.0,2026-02-13T05:00:00Z,34.61,34.61,31,31,22,11,33.625455
2026-02-13,AAPL260213C00230000,2026-02-13,call,230.0,2026-02-13T05:00:00Z,29.3,31.44,29.3,31.44,5,2,30.584
