date,symbol,expiry,type,strike,timestamp,open,high,low,close,volume,trade_count,vwap
2026-03-02,AAPL260302C00190000,2026-03-02,call,190.0,2026-03-02T05:00:00Z,75.44,75.83,75.44,75.83,3,3,75.61
2026-03-02,AAPL260302C00240000,2026-03-02,call,240.0,2026-03-02T05:00:00Z,24.3,26.04,24.19,24.19,115,115,24.545739
2026-03-02,AAPL260302C00265000,2026-03-02,call,265.0,2026-03-02T05:00:00Z,0.8,1.59,0.03,0.12,60033,9144,0.684053
2026-03-02,AAPL260302C00290000,2026-03-02,call,290.0,2026-03-02T05:00:00Z,0.01,0.01,0.01,0.01,3,2,0.01
2026-03-02,AAPL260302C00300000,2026-03-02,call,300.0,2026-03-02T05:00:00Z,0.01,0.01,0.01,0.01,1,1,0.01
2026-03-02,AAPL260302C00275000,2026-03-02,call,275.0,2026-03-02T05:00:00Z,0.02,0.05,0.01,0.01,869,157,0.011197
2026-03-02,AAPL260302P00230000,2026-03-02,put,230.0,2026-03-02T05:00:00Z,0.01,0.01,0.01,0.01,102,20,0.01
2026-03-02,AAPL260302P00247500,2026-03-02,put,247.5,2026-03-02T05:00:00Z,0.11,0.14,0.01,0.01,869,65,0.032463
2026-03-02,AAPL260302P00250000,2026-03-02,put,250.0,2026-03-02T05:00:00Z,0.16,0.24,0.01,0.01,1094,123,0.060484
2026-03-02,AAPL260302P00280000,2026-03-02,put,280.0,2026-03-02T05:00:00Z,17.36,17.36,14.25,16.15,14,5,16.022143
2026-03-02,AAPL260302C00257500,2026-03-02,call,257.5,2026-03-02T05:00:00Z,4.42,8.57,4.42,6.75,69,36,6.341739
2026-03-02,AAPL260302P00235000,2026-03-02,put,235.0,2026-03-02T05:00:00Z,0.01,0.03,0.01,0.03,109,2,0.010734
2026-03-02,AAPL260302P00240000,2026-03-02,put,240.0,2026-03-02T05:00:00Z,0.02,0.05,0.01,0.01,218,13,0.017706
2026-03-02,AAPL260302P00257500,2026-03-02,put,257.5,2026-03-02T05:00:00Z,0.6,1.19,0.01,0.01,8568,1217,0.273217
2026-03-02,AAPL260302P00267500,2026-03-02,put,267.5,2026-03-02T05:00:00Z,6.65,7,1.13,2.27,9592,1219,2.023391
2026-03-02,AAPL260302C00230000,2026-03-02,call,230.0,2026-03-02T05:00:00Z,32.35,33.83,32.35,33.83,20,3,33.09
2026-03-02,AAPL260302C00235000,2026-03-02,call,235.0,2026-03-02T05:00:00Z,29.33,29.61,29.33,29.61,15,15,29.422667
2026-03-02,AAPL260302C00255000,2026-03-02,call,255.0,2026-03-02T05:00:00Z,6.1,11.46,6.1,10.09,89,29,8.940112
2026-03-02,AAPL260302C00260000,2026-03-02,call,260.0,2026-03-02T05:00:00Z,2.93,6.47,2.35,5.46,1809,439,3.908043
2026-03-02,AAPL260302C00262500,2026-03-02,call,262.5,2026-03-02T05:00:00Z,1.61,4.01,0.87,2.96,14425,3219,1.95236
2026-03-02,AAPL260302C00282500,2026-03-02,call,282.5,2026-03-02T05:00:00Z,0.01,0.01,0.01,0.01,117,11,0.01
2026-03-02,AAPL260302P00295000,2026-03-02,put,295.0,2026-03-02T05:00:00Z,29.22,29.22,28.95,28.95,3,3,29.08
2026-03-02,AAPL260302P00300000,2026-03-02,put,300.0,2026-03-02T05:00:00Z,37.5,37.5,33.9,33.9,204,12,37.160833
2026-03-02,AAPL260302C00205000,2026-03-02,call,205.0,2026-03-02T05:00:00Z,58.2,61.06,58.2,61.06,7,5,59.767143
2026-03-02,AAPL260302P00237500,2026-03-02,put,237.5,2026-03-02T05:00:00Z,0.01,0.01,0.01,0.01,107,7,0.01
2026-03-02,AAPL260302P00245000,2026-03-02,put,245.0,2026-03-02T05:00:00Z,0.08,0.08,0.01,0.01,853,68,0.027784
2026-03-02,AAPL260302P00285000,2026-03-02,put,285.0,2026-03-02T05:00:00Z,22.11,22.11,19.32,19.32,2,2,20.715
2026-03-02,AAPL260302P00287500,2026-03-02,put,287.5,2026-03-02T05:00:00Z,21.85,21.85,21.85,21.85,1,1,21.85
2026-03-02,AAPL260302C00215000,2026-03-02,call,215.0,2026-03-02T05:00:00Z,47.86,49.71,47.86,49.51,28,28,49.432143
2026-03-02,AAPL260302C00242500,2026-03-02,call,242.5,2026-03-02T05:00:00Z,21.87,22.69,21.87,22.17,111,111,22.111351
2026-03-02,AAPL260302C00252500,2026-03-02,call,252.5,2026-03-02T05:00:00Z,8.56,13.5,8.56,11.6,43,18,12.668372
2026-03-02,AAPL260302C00267500,2026-03-02,call,267.5,2026-03-02T05:00:00Z,0.26,0.45,0.01,0.01,48202,5481,0.135971
2026-03-02,AAPL260302C00195000,2026-03-02,call,195.0,2026-03-02T05:00:00Z,70.96,70.96,70.88,70.88,2,2,70.92
2026-03-02,AAPL260302C00200000,2026-03-02,call,200.0,2026-03-02T05:00:00Z,65.48,66,65.48,66,5,5,65.72
2026-03-02,AAPL260302C00270000,2026-03-02,call,270.0,2026-03-02T05:00:00Z,0.15,0.16,0.01,0.01,19091,1437,0.034617
2026-03-02,AAPL260302P00297500,2026-03-02,put,297.5,2026-03-02T05:00:00Z,31.57,31.6,31.44,31.44,6,6,31.545
2026-03-02,AAPL260302C00277500,2026-03-02,call,277.5,2026-03-02T05:00:00Z,0.02,0.02,0.01,0.01,637,49,0.010016
2026-03-02,AAPL260302P00282500,2026-03-02,put,282.5,2026-03-02T05:00:00Z,19.54,19.54,16.87,16.87,2,2,18.205
2026-03-02,AAPL260302P00290000,2026-03-02,put,290.0,2026-03-02T05:00:00Z,24.25,24.25,24.25,24.25,1,1,24.25
2026-03-02,AAPL260302P00292500,2026-03-02,put,292.5,2026-03-02T05:00:00Z,26.58,26.58,26.58,26.58,1,1,26.58
2026-03-02,AAPL260302C00280000,2026-03-02,call,280.0,2026-03-02T05:00:00Z,0.02,0.02,0.01,0.01,54,25,0.011111
2026-03-02,AAPL260302P00265000,2026-03-02,put,265.0,2026-03-02T05:00:00Z,3.25,4.97,0.05,0.34,27770,4353,0.815531
